Question,Option1,Option2,Option3,Option4,CorrectAnswer
"Quelle est la capitale de l'Italie?","Rome","Milan","Venise","Florence",1
"Quel est le plus grand océan du monde?","Océan Atlantique","Océan Indien","Océan Arctique","Océan Pacifique",4
"Qui a écrit 'Les Misérables'?","Victor Hugo","Gustave Flaubert","Émile Zola","Alexandre Dumas",1
"Combien de continents y a-t-il sur Terre?","5","6","7","8",3
"Quel est le plus long fleuve du monde?","Amazone","Nil","Yangtsé","Mississippi",2
"Quel est l'élément chimique avec le symbole 'O'?","Or","Oxygène","Osmium","Oganesson",2
"Qui a découvert la gravité?","Isaac Newton","Albert Einstein","Galilée","Nikola Tesla",1
"Quel est le plus grand désert du monde?","Sahara","Antarctique","Gobi","Kalahari",2
"Quel est le pays le plus peuplé du monde?","Inde","États-Unis","Chine","Indonésie",3
"Quel est le plus petit pays du monde?","Monaco","Vatican","Nauru","Saint-Marin",2
"Quel est l'animal national de l'Australie?","Kangourou","Koala","Émeu","Ornithorynque",1
"Quel est le symbole chimique de l'or?","Au","Ag","Fe","Gd",1
"Qui a inventé le téléphone?","Alexander Graham Bell","Thomas Edison","Nikola Tesla","Guglielmo Marconi",1
"Quel est le plus grand mammifère du monde?","Éléphant","Baleine bleue","Girafe","Rhinocéros",2
"Quel est le plus haut sommet du monde?","K2","Mont Everest","Kilimandjaro","Mont Blanc",2
"Quel est le pays connu comme le pays du soleil levant?","Chine","Corée du Sud","Japon","Thaïlande",3
"Quel est le langage de programmation utilisé pour développer des applications Android?","Java","Swift","Python","C++",1
"Quel est le nom de la monnaie officielle du Japon?","Yen","Won","Yuan","Dollar",1
"Quel est le plus grand lac d'eau douce du monde?","Lac Supérieur","Lac Victoria","Lac Baïkal","Lac Tanganyika",3
"Quel est le nom du premier homme à avoir marché sur la Lune?","Neil Armstrong","Buzz Aldrin","Yuri Gagarin","Alan Shepard",1
"Quel est le pays d'origine de la pizza?","France","Italie","Espagne","Grèce",2
"Quel est le nom de la galaxie dans laquelle nous vivons?","Andromède","Voie Lactée","Triangulum","Sombrero",2
"Quel est l'organe responsable de la filtration du sang dans le corps humain?","Cœur","Poumon","Rein","Foie",3
"Quel est le nom du processus par lequel les plantes fabriquent leur nourriture?","Respiration","Photosynthèse","Transpiration","Germination",2
"Quel est le plus grand os du corps humain?","Fémur","Tibia","Humérus","Radius",1
"Quel est le nom de la plus grande forêt tropicale du monde?","Forêt amazonienne","Forêt du Congo","Forêt de Bornéo","Forêt de Sumatra",1
"Quel est le nom de la première femme à avoir remporté un prix Nobel?","Marie Curie","Rosalind Franklin","Ada Lovelace","Dorothy Hodgkin",1
"Quel est le nom du plus grand désert chaud du monde?","Sahara","Gobi","Kalahari","Arabie",1
"Quel est le nom de la plus haute cascade du monde?","Angel Falls","Niagara Falls","Victoria Falls","Iguazu Falls",1
"Quel est le nom de la plus grande île du monde?","Australie","Groenland","Borneo","Madagascar",2
"Quel est le nom du plus grand fleuve d'Europe?","Danube","Volga","Rhin","Seine",2
"Quel est le nom du plus grand pays du monde par superficie?","Canada","Chine","Russie","États-Unis",3
"Quel est le nom du plus grand animal terrestre?","Éléphant d'Afrique","Girafe","Rhinocéros","Hippopotame",1
"Quel est le nom du plus grand oiseau du monde?","Autruche","Aigle","Condor","Pélican",1
"Quel est le nom du plus grand reptile du monde?","Crocodile marin","Anaconda","Iguane","Varans de Komodo",1
"Quel est le nom du plus grand poisson du monde?","Requin baleine","Requin blanc","Raie manta","Thon rouge",1
"Quel est le nom du plus grand volcan actif du monde?","Mauna Loa","Kilauea","Etna","Vésuve",1
"Quel est le nom du plus grand canyon du monde?","Grand Canyon","Canyon de Colca","Canyon de Yarlung Tsangpo","Canyon de Fish River",1
"Quel est le nom du plus grand glacier du monde?","Glacier de l'île de Pine","Glacier de Vatnajökull","Glacier de Lambert","Glacier de Perito Moreno",3
"Quel est le nom du plus grand désert de sable du monde?","Désert d'Arabie","Désert du Sahara","Désert de Gobi","Désert de Kalahari",2
